# Dark Continent countries.
ALM	= "countries/Alemand.txt"
AMZ	= "countries/Amazonia.txt"
ARW	= "countries/Arawak.txt"
AYM	= "countries/Aymara.txt"
CAR	= "countries/Carib.txt"
EST	= "countries/Estonia.txt"
FAR	= "countries/Faransa.txt"
HAW	= "countries/Hawaii.txt"
ICE = "countries/Iceland.txt"
INU	= "countries/Inuit.txt"
JOC	= "countries/Jochid.txt"
LEN	= "countries/Lenape.txt"
MAA	= "countries/Magyaristan.txt"
MAK	= "countries/DjataKurufa.txt"
MDG = "countries/Madagascar.txt"
MEO	= "countries/Menominee.txt"
RUM	= "countries/Ruma.txt"
SAM	= "countries/Sameland.txt"
SKA	= "countries/Skandistan.txt"
WAN	= "countries/Wanka.txt"
